29
1 1 1
1 2 1
2 3 -1
2 4 1
3 3 1
3 25 -1
4 4 1
4 26 -1
5 5 1
5 6 1
6 7 -1
6 8 1
7 7 1
7 25 -1
8 8 1
8 27 -1
9 9 1
9 10 1
10 11 -1
10 12 1
11 11 1
11 28 -1
12 12 1
12 25 -1
13 13 1
13 14 1
14 14 -1000
14 15 -1
14 16 1
15 15 1
15 29 -1
16 16 1
16 26 -1
17 17 1
17 18 1
18 18 1
18 19 1.3242576675493099e-17
18 20 -1.3242576675493099e-17
19 19 1
19 27 -1
20 20 1
20 29 -1
21 21 1
21 22 1
22 22 1
22 23 2.8247458352370361e-11
22 24 -2.8247458352370361e-11
23 23 1
23 29 -1
24 24 1
24 28 -1
25 25 1
26 2 1
26 14 1
27 6 1
27 17 1
28 9 1
28 22 1
29 13 1
29 18 1
29 21 1
